,x,y,z,alpha,beta,gamma,duration
0,0,0,0,0,0,0,100
0,0.7565233314004944,3.0,0.0,0.0,0.0,0.0,100.0
0,2.243476668599506,0.0,0.0,0.0,0.0,0.0,100.0
0,3.048982207708976,3.0,0.0,0.0,0.0,0.0,100.0
0,4.3021942808313245,0.0,0.0,0.0,0.0,0.0,100.0
0,7.3021942808313245,0.0,0.0,0.0,0.0,0.0,100.0
0,10.302194280831324,0.0,0.0,0.0,0.0,0.0,100.0
0,13.302194280831324,0.0,0.0,0.0,0.0,0.0,100.0
0,16.302194280831323,0.0,0.0,0.0,0.0,0.0,100.0
0,19.302194280831323,0.0,0.0,0.0,3.0,1.1464583269753106,100.0
0,22.302194280831323,0.0,0.0,0.0,0.0,2.665089877010407,100.0
0,25.302194280831323,0.8933072908719137,2.774315622425001,0.0,3.0,4.964690084536271,100.0
0,28.13409833063753,2.1066927091280863,5.551561021759698,0.0,0.0,7.284798730430006,100.0
0,29.60255745109409,0.8933072908719137,8.353709524826808,0.0,3.0,9.588793603320415,100.0
0,26.60255745109409,2.1066927091280863,11.173436689352092,0.9873348185674613,0.0,11.892788476210823,100.0
0,23.657582323679314,0.8933072908719137,13.990234076967681,0.0059511093478197274,3.0,14.196783349101231,100.0
0,20.984435560167245,2.1066927091280863,16.809961241492967,0.9754325998718218,0.0,16.500778221991638,100.0
0,18.382518997772152,0.8933072908719137,19.629688406018253,0.0059511093478197274,3.0,18.804773094882044,100.0
0,15.897335734122748,2.1066927091280863,22.44941557054354,0.9754325998718218,0.0,21.10876796777245,100.0
0,13.46250801110874,0.8933072908719137,25.26621295815913,0.0059511093478197274,3.0,23.412762840662857,100.0
0,11.305001983703118,2.1066927091280863,28.093264564958655,0.9754325998718218,0.0,25.722617267372655,100.0
0,9.15692617572558,0.8933072908719137,30.923245948667876,0.0059511093478197274,3.0,28.036866359446996,100.0
0,8.203924680318616,2.1066927091280863,33.753227332377094,0.0059511093478197274,0.0,30.346720786156794,100.0
0,8.203924680318616,0.8933072908719137,36.580278939176615,0.0059511093478197274,3.0,32.65657521286659,100.0
0,8.203924680318616,2.1066927091280863,39.41026032288583,0.0059511093478197274,0.0,34.935666982024586,100.0
0,8.203924680318616,0.8933072908719137,42.24024170659505,0.0059511093478197274,3.0,37.225012970366514,100.0
0,8.203924680318616,0.8933072908719137,43.46287423322245,0.0059511093478197274,3.0,37.225012970366514,110.0
0,8.203924680318616,0.8933072908719137,43.46287423322245,0.0059511093478197274,3.0,37.225012970366514,110.0
0,8.203924680318616,0.8933072908719137,43.46287423322245,0.0059511093478197274,3.0,37.225012970366514,110.0
0,8.203924680318616,0.8933072908719137,46.328012939848016,0.0059511093478197274,0.0,39.3179723502304,110.0
0,8.203924680318616,0.8933072908719137,49.23270363475448,0.0059511093478197274,3.0,41.59706411938839,110.0
0,8.203924680318616,0.8933072908719137,52.13739432966094,0.0059511093478197274,0.0,43.86590166936245,110.0
0,8.203924680318616,0.8933072908719137,55.03769035920286,0.0059511093478197274,3.0,46.130344553971966,110.0
0,8.203924680318616,0.8933072908719137,57.93798638874478,0.0059511093478197274,0.0,48.399182103946025,110.0
0,8.203924680318616,0.8933072908719137,60.842677083651246,0.0059511093478197274,3.0,50.67827387310402,110.0
0,8.203924680318616,0.8933072908719137,63.63457136753442,0.0059511093478197274,0.0,52.95297097689747,140.0
0,8.203924680318616,0.8933072908719137,66.0323191015351,0.0059511093478197274,3.0,55.22766808069092,170.0
0,8.203924680318616,0.8933072908719137,68.49305703909423,0.0059511093478197274,0.0,57.49650563066498,240.0
0,8.203924680318616,0.8933072908719137,70.47468489638968,0.0059511093478197274,3.0,58.834864345225355,240.0
0,8.203924680318616,0.8933072908719137,72.35816522721032,0.0059511093478197274,3.0,59.57399212622453,231.0
0,5.203924680318616,2.1066927091280863,72.35816522721032,0.0059511093478197274,3.0,59.57399212622453,243.0
0,3.7658619953001526,0.8933072908719137,72.35816522721032,0.0059511093478197274,3.0,59.57399212622453,243.0
0,3.7658619953001526,0.8933072908719137,72.35816522721032,0.0059511093478197274,3.0,59.57399212622453,243.0
0,3.7658619953001526,0.8933072908719137,72.35816522721032,0.0059511093478197274,3.0,59.57399212622453,243.0
